public_reference,vehicle_make,vehicle_model,imageId,method,Family_Car_Score
202410245543776,Kia,Sorento,2452fdc9a05d4b9a90ad181bc37edd03,fuzzy,0.6998223836559095
202412217473075,Audi,Q7,988f44d3a60f47f480c2f9142e5a4c78,fuzzy,0.6962765588645331
202406291260392,Mercedes-Benz,V Class,607b309e3ed8437c9dba5d414941dc03,fuzzy,0.6998223015782498
202410285664822,Hyundai,i800,b92893825f334e1a9b5f302ea0c07c0c,fuzzy,0.6950225768502594
202411276781356,Volkswagen,Touran,fe25d035b5454760a4cce2fb6bb93da6,fuzzy,0.6994603814343034
202401225780201,Toyota,PROACE Verso,4bedd257ea334b78a589cbd44166f03b,fuzzy,0.69939094617261
202412267543271,BMW,2 Series Gran Tourer,92213e5df0264a02a0513d600072c930,fuzzy,0.6997753516823334
202411186400612,Volkswagen,Tiguan Allspace,6e27d3229f2c4357a4a2aaa0d0faf01d,fuzzy,0.69939094617261
202408172988093,SsangYong,Rodius,a2bd86023ad5416aa9abfdf7d8c986fe,fuzzy,0.695005724887212
202412046977930,Peugeot,5008,0364f9454ad54302b20a45f6d5e1470f,fuzzy,0.6950000340095097
202412147277598,Vauxhall,Combo Life,df5296060fcf4c1399c390020e45262f,fuzzy,0.6952215121620587
202412046995708,Chevrolet,Captiva,553cec37a0614eecb61806dfec055604,fuzzy,0.6136994951340425
202406190916044,BMW,2 Series Gran Tourer,83358c0c0274451ba01c1819219976ec,fuzzy,0.6995208509099587
202412127227556,Hyundai,Santa Fe,3446d9d7f21849789f5296b58d6b8893,fuzzy,0.69365331069874
202411126204832,BMW,2 Series Gran Tourer,73bc495652c34b32a03d9419edcdaf4f,fuzzy,0.6997753516823334
202411146276416,Peugeot,5008,4bf365f1c6944cbd8a3387ae1c66058d,fuzzy,0.6950000340095097
202412137265111,Vauxhall,Combo Life,3a1f07b7b1a44d80a26b5cfbccdfe329,fuzzy,0.6952215121620587
202412277554530,Mazda,CX-80,30d5f048fb89437b9524d11b6d0bb87a,fuzzy,0.6996375529820781
202412117176522,Audi,Q7,13414bd6ff9a4fffb627887fa666dcdb,fuzzy,0.6956976133425303
202411276792898,Peugeot,5008,e7abb6182987432da250f68123650a49,fuzzy,0.6950000340095097
202410024733932,Hyundai,Santa Fe,bbef64f4da3742998a8787b2af828b80,fuzzy,0.6997024399406784
202411086096246,Land Rover,Discovery Sport,cdc80b313cbc41c58ce2286757e5f76d,fuzzy,0.695000003706256
202410315789896,Mercedes-Benz,GLB,e1fe15761fd541acbcddadd92ae48edc,fuzzy,0.6843081520605
202409123943445,Citroen,Grand C4 Picasso,8506f029dd0d48e98cb4c67b48d07156,fuzzy,0.6997468757904945
202410245552874,Kia,Sorento,a4785729b6484fbb93cdf12caa095c36,fuzzy,0.6998226414162284
202411086090817,Mercedes-Benz,R Class,39f3fdcc7e744eff956fe01caed6ba97,fuzzy,0.6998003036923308
202412187394019,Citroen,C8,531ceb8a78cb4691b7aa1d6742c19310,fuzzy,0.655971939062028
202410125125717,Volkswagen,Touran,48132198bf564251aef6ccef67c0794f,fuzzy,0.6994603814343034
202409254431382,BMW,2 Series Gran Tourer,4be15e1205134ec28b1b0f992c0b5234,fuzzy,0.6995208509099587
202412097136323,Hyundai,i800,d3fd3414483a476f8b7a80685e9b8dfb,fuzzy,0.6950367381542084
202411196472691,Volkswagen,Caddy Maxi Life,4ea8115030d745eaaa3b65adb0959a4d,fuzzy,0.6972517123357412
202412167319876,SsangYong,Turismo,34208a4a8edc4c6d869864bcfcb372f2,fuzzy,0.695005724887212
202411166359745,BMW,2 Series Gran Tourer,8ea26f855ad94799bd307518acd1ff77,fuzzy,0.6995208509099587
202411156324356,BMW,2 Series Gran Tourer,d39db1a7194740d093a62aeeae9a872b,fuzzy,0.6995208509099587
202412046981650,Mercedes-Benz,GLB,e20b07601fa94567bdf0251854308770,fuzzy,0.6996913267321843
202412187384144,Mercedes-Benz,V Class,ba3d5ebd76cd405fa1f4a7c1fca92219,fuzzy,0.6950000002886577
202412297592368,Kia,Carens,c0ea0fe0ebf744ad8b1b4218a9390500,fuzzy,0.6759570009142246
202408122800283,Mercedes-Benz,GLS,aae8f72352ea4dc9996bdedc34489b2a,fuzzy,0.6996110394746315
202410295737997,Toyota,Land Cruiser,46624f10aed0488db52a668ef1d6e7b8,fuzzy,0.6998157355565536
202412167323702,Kia,Sorento,14f99fff0cd24039b64b4706a961a20c,fuzzy,0.699822573701145
202410165262423,Volkswagen,Tiguan Allspace,392bf96746c34fb0b36e6d42e4268e72,fuzzy,0.69939094617261
202411296841042,Toyota,Verso,8c773aab030e4630a0114a3f8f1fceb7,fuzzy,0.6997379876069553
202411286812046,Mercedes-Benz,GLE,6073dfbe6d654f8db77fc526b6805501,fuzzy,0.699804982289614
202411186420099,Mercedes-Benz,V Class,40727b1452b440fea47a1631259e7d2f,fuzzy,0.6950000002886577
