public_reference,vehicle_make,vehicle_model,imageId,method,Sport_Car_Score,Taxonomy_body_type
202407292257703,Porsche,911,b834db2f34ed4687ac1a54f38be1825c,fuzzy,0.502085289600338,Coupe
202412197410055,Audi,TTS,91875b74fdc246fc9332fcaa8f631ab8,fuzzy,0.5778939030427691,Coupe
202410175287460,Mercedes-Benz,SL,0500e575380a4821ae5f8f01992022a3,fuzzy,0.6218668980238184,Convertible
202410315789627,Aston Martin,Vanquish,f865c31aeaa641ebb16b015fdda2c95d,fuzzy,0.5348269820029348,Coupe
202404168688745,Jaguar,F-Type,435a85a5fc974e04a503c6805e52dda7,fuzzy,0.6154805563794836,Convertible
202409053686075,Audi,R8,6f5d586031044abaa7442c6d04f52976,fuzzy,0.7653533649705626,Coupe
202412207457056,Mercedes-Benz,SLK,70f3e9b7c57d4d3b87a29d3130c809bc,fuzzy,0.5524267317359876,Convertible
202407021338846,Ferrari,F355,e65d812007514f90aed036e961c24d39,fuzzy,0.7469819793769586,Convertible
202412217468871,Porsche,911,19c1f28134c94f8abd00a586a70a6070,fuzzy,0.6217643383358894,Coupe
202403278028905,BMW,i8,7aed27886a884d758a1419de9d7b0edc,fuzzy,0.6742489738964577,Convertible
202411065999715,Porsche,Boxster,92537fb65a49425cb6053f4ca590de10,fuzzy,0.6552233928242198,Convertible
202410195374913,Porsche,Cayman,216d88b8a95644b49bf5e08e00d4c039,fuzzy,0.6596693322151009,Coupe
202408142887700,Mercedes-Benz,AMG GT,f7a1916a5a0c46acabb053c64634bd62,fuzzy,0.7497512352827918,Coupe
202407151793622,Mercedes-Benz,SLS,b9d70d3e062e4e18b0f65b246ed3c2a7,fuzzy,0.7596438962864149,Convertible
202412167307155,Porsche,911,01def1611e2b4654b3e96e482930cf6a,fuzzy,0.6121756449488231,Coupe
202410235517635,Aston Martin,Vantage,6dd5966d65f24f89a3c75632a7bcdbb5,fuzzy,0.745294213619119,Convertible
202408152920621,Mercedes-Benz,AMG GT,ce85c6373ab148cfa5053250c92a073e,fuzzy,0.7687487820521879,Convertible
202411015852408,Mercedes-Benz,AMG GT,186c0a7a2be7445595880fa10166907e,fuzzy,0.7610726945760304,Coupe
202410255611276,Ferrari,California,f6e05e8539b54421a0985195c0ec6e0a,fuzzy,0.701311571529751,Convertible
202411146283145,Porsche,911,41d4b08c9c5244c8aa5ec48db7abcda6,fuzzy,0.5185221517583214,Convertible
202407222044596,Mercedes-Benz,AMG GT,ef2fcba060f14e848cc2d5b5ed2ba8ac,fuzzy,0.7675840502263638,Coupe
202412097119155,Porsche,911,d874392fe50a41a199e82d805557ef8f,fuzzy,0.7650537359037384,Coupe
202410295726167,Porsche,718 Boxster,146f22f8e3d84647bff962709bc0ceb9,fuzzy,0.7318702091995188,Convertible
202410175288977,Aston Martin,DB11,1e2271cca4bf483ca32a8850682c8359,fuzzy,0.5841829303856659,Convertible
202407252145355,McLaren,570GT,d968d9ff01314fea81f5122c2b7dca9e,fuzzy,0.7568092073614675,Coupe
202402076329614,Ferrari,575M,64a80f2a72b643448e02e1a8b3eb12e7,fuzzy,0.7330224702057903,Coupe
202410265623931,Aston Martin,DB7,4c91ee6dfa954130adc9ee8b97be066b,fuzzy,0.502085289600338,Coupe
202412107153824,Porsche,911,632e680fb91443118ab4229bc0eddf09,fuzzy,0.7268291916783679,Coupe
202501027668477,Porsche,718 Boxster,c9a216d16f7d42e181623717cf3b3762,fuzzy,0.6926690415388062,Convertible
202407201966986,Mercedes-Benz,AMG GT,413987f7802e492bb612e92ed112b148,fuzzy,0.7610726945760304,Coupe
202410155224859,Porsche,911,709c34fb3fcf4baab1d76d04d275457b,fuzzy,0.7455639677321455,Coupe
202501057755837,BMW,Z4,fba2fa1d8d874b6c90400a32c7c56b02,fuzzy,0.5668806749245734,Convertible
202410225463087,Mercedes-Benz,SLK,89e49ee6fe4043eda468ba9c83a4a23e,fuzzy,0.5668806749245734,Convertible
202003288782068,Lamborghini,Gallardo,2b131e5376d545d5aed0f09c961225f1,fuzzy,0.7682816359919182,Convertible
202412077084805,Porsche,911,eac44b5bbd5d4055ae11d2f925c6edc3,fuzzy,0.502085289600338,Coupe
202407312340388,Porsche,911,47df7681832044dca59890abb6360743,fuzzy,0.7291293365171501,Convertible
202410074909096,Alpine,A110,9c1f41d266ae4018a577d390acd54769,fuzzy,0.6847903364064235,Coupe
202411186414108,Aston Martin,Vantage,d83904fdd9b448669059421389bab38c,fuzzy,0.724174511129763,Convertible
202412287583332,Audi,TT RS,7c77b8f5d2d04f6bb675eeee26814f56,fuzzy,0.6553608418115403,Convertible
202411296853924,Lotus,Evora,bb7b0257da2f4b8485353f90515a01ca,fuzzy,0.7643060065909193,Coupe
202310293441232,Porsche,911,111af68da5bd42cca5757ae0a5ba3c99,fuzzy,0.6595348752328346,Convertible
202412107169564,Jaguar,F-Type,0a0720a9eb524667829332eaea37e44a,fuzzy,0.7192600424479169,Convertible
202211221888487,Aston Martin,Vanquish,0048f9780af94cf59a8d35cf848294e1,fuzzy,0.7330311468050295,Coupe
202411216575457,Audi,TT RS,8e8351a3d84f430da1542cef4839dcdc,fuzzy,0.679274198408356,Coupe
202406070527280,Jaguar,XK,25589bd4ff15486b8fc77d788bbd786e,fuzzy,0.5094205951204492,Convertible
202411226615283,Mercedes-Benz,AMG GT,eb0988cb1f18473081b30ebaaf11069b,fuzzy,0.7602289418189704,Convertible
202408283369637,Jaguar,XKR,a80a4804799b4c6e83264b80d74028ea,fuzzy,0.5959709914105545,Convertible
202412117182697,Audi,R8,c3e14bd20bfb42d0869b8cf279fea2e2,fuzzy,0.7579699415452757,Convertible
202409144036460,Porsche,911,42ae158fd9cd4bb99ffe659dd5d520de,fuzzy,0.7537284727382373,Coupe
202411116171319,Porsche,Boxster,0e1e0fd47da54013aef4d7938d99785b,fuzzy,0.502085289600338,Convertible
202407161818091,Jaguar,F-Type,29c13e88bcf945b38130ed281c588231,fuzzy,0.5436019922194487,Coupe
202411136248562,BMW,Z4,4ec631f5e2c84f06b4e860b7cced2019,fuzzy,0.6742489738964577,Convertible
202408012395937,Aston Martin,DB9,6d13cac490054878ac845852cb9511ec,fuzzy,0.6830765182697065,Convertible
202410115082530,Porsche,911,c457d0e3f0d64cf594a478ec8d1339b8,fuzzy,0.7243454466402156,Coupe
202411206514478,Toyota,Supra,05b765c61b49403ca96c014cc45d864f,fuzzy,0.7043952025622664,Coupe
202404299159780,Porsche,911,91c4dd91b84d4de3ac5f979ce116a113,fuzzy,0.7302335537485025,Convertible
202405169778867,Mercedes-Benz,SLK,8e8dbbd52bb940ff96d2015cc90d9b69,fuzzy,0.5524267317359876,Convertible
202407131743110,Maserati,Coupe,110bf9086a544d5f930aca0d11d903a7,fuzzy,0.6589398856226235,Coupe
202411286812575,Porsche,911,ab70ab7e91b9452984dceb1a2d4194ed,fuzzy,0.5968339552625278,Convertible
202411136268748,Jaguar,F-Type,81a1e7498155418198269d622a9de59e,fuzzy,0.6487141734534644,Coupe
202410215434022,Porsche,Boxster,d11dcf0bcbc84f0f8b8906bff29e00ed,fuzzy,0.6835972320000049,Convertible
202306178632104,Ferrari,F8 Tributo,333ab8fad6954f27a1cdb7c59371fbef,fuzzy,0.7091951563415748,Coupe
202412177351268,Jaguar,F-Type,90adaac4b0a94342ab879ce97ac7a98c,fuzzy,0.5683385464237172,Coupe
202501067777194,McLaren,Artura,819e9a36d7524baabc7454fef25cfba3,fuzzy,0.7268291916783679,Coupe
202407151792460,Porsche,911,2de1404e6b4a41538003c4208a97cfa2,fuzzy,0.5968339552625278,Convertible
202412127221098,BMW,Z3 M,975dce48b7e444b8b47c5bbbc0ce76d1,fuzzy,0.5914609531084346,Coupe
202411086075963,Jaguar,F-Type,f1c8e2faa89d4a72ac799c1e4ae4840d,fuzzy,0.5524267317359876,Convertible
202406110650075,Lamborghini,Aventador,c5de1e7a61be487d82949d5a09c4831f,fuzzy,0.7268291916783679,Convertible
202409053672719,Aston Martin,Vantage,c16326eb720f469cb25d83e7df67c716,fuzzy,0.7266170968180388,Coupe
202409063725911,Porsche,911,d07cbb507c024d049be3fd43efdfdb43,fuzzy,0.7159519948200234,Convertible
202411066018324,Ferrari,Roma,a1e3c491290b448f9c31dba53e572a3a,fuzzy,0.7618621154279757,Coupe
202409184165693,Jaguar,F-Type,8b1e47b91fa0422abf52edef5c7b41d3,fuzzy,0.5791299297183092,Convertible
202405310255735,Porsche,718 Cayman,950616fa4dad493a9fa7377b81ebaed6,fuzzy,0.7618621154279757,Coupe
202411156315907,Porsche,911,ce9d24506b13477d993db87358cffd83,fuzzy,0.7528503401852193,Convertible
202409184168174,Porsche,911,a7ab0c0c2be44c82b794d292fc4cc0c3,fuzzy,0.502085289600338,Convertible
202408092720070,Aston Martin,DBS,97aec9a1e6d4497bb5e5f59987376b33,fuzzy,0.5451356066499154,Convertible
202409234356418,McLaren,650S,d905a3ca13cb42838e2028edbd2c0a96,fuzzy,0.7268291916783679,Convertible
202501077803260,Porsche,911,9a7820c216524323ad9cac25169716d9,fuzzy,0.7226010580189707,Coupe
202409093837779,McLaren,570S,fbdcd918b9da41db91b6949a4d127126,fuzzy,0.7400539831745422,Convertible
202412097119867,Porsche,Cayman,0721211ed3a147dd9d5f2f9a742a81dc,fuzzy,0.6596693322151009,Coupe
202412237504394,McLaren,720S,072603ced8cf407ab487e403c21d09f4,fuzzy,0.686424822363179,Convertible
202411076037490,Porsche,911,ecdde575de344707aecc05899cf9f37e,fuzzy,0.7653533649705626,Coupe
202411086094298,Porsche,718 Boxster,0455a2bcb73d4a84aa809e1cebb4e811,fuzzy,0.6742060342996528,Convertible
202411055972906,Porsche,718 Boxster,6cb0c2885861427887aa1e744604ab05,fuzzy,0.7109268132241191,Convertible
