vehicle_standard_make,vehicle_standard_model,derivative_id,imageId
Fiat,Qubo,09a8dd64e17047a487d0ab6089c7cca6,3333e61406aa47da85fa245c495a2265
Fiat,Tipo,665694c3290c4435a58ef3e1ba3d701f,419dbbfdefe24ab1b4aebc6edd8c688d
Ford,B-Max,a1f3bf3173b94713b5745b5570caceb3,f4b17241a9954a6ea5885cca9bf5f5f2
Ford,C-Max,2e25affac5bf4be1acbd9a654fec9b7f,5eda3dcaced14064a83868c24de58b99
Ford,EcoSport,7affa2e187a944e9aa14ba9fe2bbc70d,c3ae4ca1b20b420aaf256efde546a715
Ford,Focus,f9319a4e3f5847eda976bedae8be38d0,3b0cf40e6b90448b804243aa3958cdf4
Ford,Fusion,4db25996ea77eae271032f67d329d596,53ec63cf6ecb4e7eae111cb718f227e4
Ford,Grand C-Max,5030e683bb8944279bd318643e9b473f,2a218ba50e2e455eb55cbffcda1de035
Ford,Puma,cd62576a689e400393f979f13508d677,312d2cdbe42a46d2aeee273cb460fee1
Ford,Puma Gen-E,55fb5dc1307f47e3ab55b00d346c9b5e,0e44609289e34ad4be0fb7ceb9399840
GWM,Funky Cat,134400c075644928b25c445d9c3cc709,4cf7364288344550b5485fbba3ca9d02
GWM,ORA 03,acc3db6bf00b49e6a54c67d8de68d7f4,b2d861f1b17c475aa00627e5df33e607
Honda,Civic,4ab29becfff943c29a3c8427bb3e11a2,b1e08a8fc046428f85302b898e4673e6
Honda,HR-V,5a8087a3e51e4d86a0f9ff5243f58ea0,149bf5a2cc4749aca0feca3455ba9131
Honda,Insight,205abd3c84304d6d862a1ee85b628e2a,06b8ac9165aa456a858c3a332f09de34
Honda,Jazz,b47db41d865b4180ae7805ac4ca90ca6,d0d3417503354cf5905c3b4ccf0c9a71
Honda,e:Ny1,f5e490474e79483c9c9e3a876d3ed57c,6b53ab756fe2427d822db94ddcf801d0
Hyundai,BAYON,9e0aede193bf4b7095e485455c7182f1,e1fe446925424569aa851bd61c47fef0
Hyundai,IONIQ,1095024ae8654c2386462ac919159fb6,356e5ecde5414e3980011cd6bfdb3db4
Hyundai,KONA,95f228e198bb489e86a6ff6f32cd73e6,cf55f8aa0ea94ad6bb91ae9b2ef17e56
Hyundai,Matrix,25e2dc59ff37496ea56d6e57c1cff3d2,af7cb9f314664946802ff864aa2773d5
Hyundai,Veloster,c265542200664847bec3a17dea5fcb05,3d038aed81ed408e8132c93ee1e0b040
Hyundai,i30,74668607fa684f6d8764dd8730bfcfef,4f52ff1d5e0a48ce96908dbbd75a7a35
Hyundai,ix20,b09fc53a62fe49f5912b51fee48091da,d85bd85a75dc4e2bbf052990b1bce892
Infiniti,Q30,5aa871a426af44bc8d4946f6832d103f,ba22df543d24404892dc4e08ce16fe90
Jaguar,XE,4676113bdc1540cc9a424d6a26a55f3b,28d4946f84154765a633a000a38dc4f9
Jeep,Avenger,6f283c921a364172819417b1ad92da0a,d7b78f63899d46f3aa1b5faf433093d7
Jeep,Renegade,621bc29794154ec48ee4694e22b2549e,fce91dc6780f4a5e9cb6e026f18b2527
Kia,Ceed,993732ce245745dabeb51ee733f26e4c,7388f9d7930d407ab6eb91f88ba67b97
Kia,EV3,61ec70d3fefd4ffbb99fb5b1c1bf8316,67251b2bac844f0a9273c6b20240137b
Kia,Niro,a7c3412213ea4335910af9594e777cd0,00b00031bde94434b35f5eb46f924ae4
Kia,ProCeed,f65a5bf3f77d47c9a14a4f241188f44c,c695d253446248bdbd13280eba5a5d0e
Kia,Soul,b233d336bcf24fd9ae659fd57819ad53,80a722e1e50243e8a3cd46dd2bf028ba
Kia,Stonic,4ac98ed635e04a67811515d23977f8b4,5e350204de564684b4530c0aa73107d2
Kia,Venga,a7d19f4bc47540d3a3a6dab0fbd349a3,48e99642b7e24d5ca448b63c15d27809
Kia,XCeed,46ab76bb816a482fb5f8cd167e96dd40,4532770dfdd34980b10279d1c0fa4e91
Lexus,CT,e4560d240d1242c894bd13cb98c2b6df,f89f29784edf4a4cb8478395e599e7f1
Lexus,LBX,091ad2c52dff4a399201574f11204b43,4c55bf1f84f3476bb4c486c85cd401f5
MG,GS,f9c1443139dd4a7f8a6350aa13c64246,90ea4427092043d586468fe2419432ad
MG,MG ZS,97baafa09e6e4d978744d39662a61713,5de970659689441989e2674b260654d3
MG,MG3,9c3824dbb3e7465291cbe98f0692207b,238d10d94eed4c91a2d8037d8f9c3c57
MG,MG4,a89e34e766154ae4830771c2582e624e,99938b772d1f487d95f96911bcd48e9d
MG,MG5,4203663b5a144ab68214a5657f0f7c47,590b4187bdad49baa0309e5b72e2855e
