public_reference,imageId,method,vehicle_make,vehicle_model
202506163543797,202506163543797,Unknown,Unknown,Unknown
202505102257131,202505102257131,Unknown,Unknown,Unknown
202504040952882,202504040952882,Unknown,Unknown,Unknown
202507204659072,202507204659072,Unknown,Unknown,Unknown
202412087113278,202412087113278,Unknown,Unknown,Unknown
202411116162734,202411116162734,Unknown,Unknown,Unknown
202503270658690,202503270658690,Unknown,Unknown,Unknown
202506293988845,202506293988845,Unknown,Unknown,Unknown
202410155219480,202410155219480,Unknown,Unknown,Unknown
202505272853053,202505272853053,Unknown,Unknown,Unknown
202507234753011,202507234753011,Unknown,Unknown,Unknown
202508025061893,202508025061893,Unknown,Unknown,Unknown
202505282908395,202505282908395,Unknown,Unknown,Unknown
202504181466126,202504181466126,Unknown,Unknown,Unknown
202506193666096,202506193666096,Unknown,Unknown,Unknown
202507124410920,202507124410920,Unknown,Unknown,Unknown
202507104371680,202507104371680,Unknown,Unknown,Unknown
202504051004190,202504051004190,Unknown,Unknown,Unknown
202506083298059,202506083298059,Unknown,Unknown,Unknown
202506213739055,202506213739055,Unknown,Unknown,Unknown
202506243813878,202506243813878,Unknown,Unknown,Unknown
202507064218277,202507064218277,Unknown,Unknown,Unknown
202504271784210,202504271784210,Unknown,Unknown,Unknown
202507054193382,202507054193382,Unknown,Unknown,Unknown
202502169171037,202502169171037,Unknown,Unknown,Unknown
202508025066780,202508025066780,Unknown,Unknown,Unknown
202506233789813,202506233789813,Unknown,Unknown,Unknown
202507124428764,202507124428764,Unknown,Unknown,Unknown
202503130079694,202503130079694,Unknown,Unknown,Unknown
202507034126463,202507034126463,Unknown,Unknown,Unknown
202408233226680,202408233226680,Unknown,Unknown,Unknown
202506123451323,202506123451323,Unknown,Unknown,Unknown
202401105434854,202401105434854,Unknown,Unknown,Unknown
202505292948909,202505292948909,Unknown,Unknown,Unknown
202503240506319,202503240506319,Unknown,Unknown,Unknown
202507254813781,202507254813781,Unknown,Unknown,Unknown
202506163545699,202506163545699,Unknown,Unknown,Unknown
202507154500605,202507154500605,Unknown,Unknown,Unknown
202503250551719,202503250551719,Unknown,Unknown,Unknown
202507154511818,202507154511818,Unknown,Unknown,Unknown
202408213113600,202408213113600,Unknown,Unknown,Unknown
202507164551764,202507164551764,Unknown,Unknown,Unknown
202503039703904,202503039703904,Unknown,Unknown,Unknown
202312124753620,202312124753620,Unknown,Unknown,Unknown
202504141317331,202504141317331,Unknown,Unknown,Unknown
202504111248202,202504111248202,Unknown,Unknown,Unknown
202507164542924,202507164542924,Unknown,Unknown,Unknown
202503099942391,202503099942391,Unknown,Unknown,Unknown
202504050995829,202504050995829,Unknown,Unknown,Unknown
202507134437505,202507134437505,Unknown,Unknown,Unknown
202507234768171,202507234768171,Unknown,Unknown,Unknown
202412307613808,202412307613808,Unknown,Unknown,Unknown
202507254833561,202507254833561,Unknown,Unknown,Unknown
202505202624879,202505202624879,Unknown,Unknown,Unknown
202506113411639,202506113411639,Unknown,Unknown,Unknown
202507104371970,202507104371970,Unknown,Unknown,Unknown
202504071072803,202504071072803,Unknown,Unknown,Unknown
202501067781060,202501067781060,Unknown,Unknown,Unknown
202503109954146,202503109954146,Unknown,Unknown,Unknown
202507164552089,202507164552089,Unknown,Unknown,Unknown
202503160208788,202503160208788,Unknown,Unknown,Unknown
202507234741510,202507234741510,Unknown,Unknown,Unknown
202507264846635,202507264846635,Unknown,Unknown,Unknown
202507264853979,202507264853979,Unknown,Unknown,Unknown
202506243829790,202506243829790,Unknown,Unknown,Unknown
202506023081716,202506023081716,Unknown,Unknown,Unknown
202506253860006,202506253860006,Unknown,Unknown,Unknown
202503230477528,202503230477528,Unknown,Unknown,Unknown
202507054195924,202507054195924,Unknown,Unknown,Unknown
202506304023264,202506304023264,Unknown,Unknown,Unknown
202412036966443,202412036966443,Unknown,Unknown,Unknown
202312134784273,202312134784273,Unknown,Unknown,Unknown
202507174578816,202507174578816,Unknown,Unknown,Unknown
202506013029423,202506013029423,Unknown,Unknown,Unknown
202507234749679,202507234749679,Unknown,Unknown,Unknown
202208098606800,202208098606800,Unknown,Unknown,Unknown
202507094322557,202507094322557,Unknown,Unknown,Unknown
202507104345538,202507104345538,Unknown,Unknown,Unknown
202506033125142,202506033125142,Unknown,Unknown,Unknown
202504221602245,202504221602245,Unknown,Unknown,Unknown
202506073256449,202506073256449,Unknown,Unknown,Unknown
202506273943990,202506273943990,Unknown,Unknown,Unknown
202505092234178,202505092234178,Unknown,Unknown,Unknown
202504081092374,202504081092374,Unknown,Unknown,Unknown
202507214681482,202507214681482,Unknown,Unknown,Unknown
202503260619069,202503260619069,Unknown,Unknown,Unknown
202507034114647,202507034114647,Unknown,Unknown,Unknown
202507034133382,202507034133382,Unknown,Unknown,Unknown
202507304970677,202507304970677,Unknown,Unknown,Unknown
202505112284500,202505112284500,Unknown,Unknown,Unknown
202503260616112,202503260616112,Unknown,Unknown,Unknown
202507114405902,202507114405902,Unknown,Unknown,Unknown
